index,start_time,end_time,text,sentiment_score,cumulative_sentiment
73,00:09:55.510000,00:09:58.340000,"You'll be malfunctioning within a day,
you nearsighted scrap pile.",0.0,0.0
74,00:09:59.050000,00:10:01.100000,"And don't let me catch you
following me, begging for help...",0.0,0.0
75,00:10:01.180000,00:10:02.680000,because you won't get it.,0.0,0.0
76,00:10:17.150000,00:10:18.860000,No more adventures.,0.0,0.0
77,00:10:18.950000,00:10:20.950000,I'm not going that way.,0.0,0.0
78,00:10:54.860000,00:10:57.860000,"That malfunctioning little twerp.
This is all his fault.",0.0,0.0
79,00:10:58.860000,00:11:01.070000,He tricked me into going this way...,0.0,0.0
80,00:11:01.160000,00:11:03.080000,but he'll do no better.,0.0,0.0
81,00:11:06.330000,00:11:08.460000,Wait. What's that?,0.0,0.0
82,00:11:08.540000,00:11:11.290000,A transport. I'm saved.,0.0,0.0
83,00:11:11.380000,00:11:13.130000,Over here!,0.0,0.0
84,00:11:13.210000,00:11:15.840000,Hey! Hey!,0.0,0.0
85,00:11:15.920000,00:11:19.380000,Help! Please help!,0.0,0.0
86,00:14:49.890000,00:14:50.890000,R2?,0.0,0.0
87,00:14:55.100000,00:14:58.690000,"R2-D2, it is you! It is you!",0.0,0.0
88,00:15:32.260000,00:15:35.470000,"Someone was in the pod.
The tracks go off in this direction.",0.0,0.0
89,00:15:36.470000,00:15:38.430000,"Look, sir. Droids.",0.0,0.0
90,00:15:52.820000,00:15:54.410000,We stopped.,0.0,0.0
91,00:15:54.490000,00:15:56.290000,Wake up. Wake up!,0.0,0.0
92,00:16:03.210000,00:16:04.840000,We're doomed.,0.0,0.0
93,00:16:12.630000,00:16:14.140000,Do you think they'll melt us down?,0.0,0.0
94,00:16:27.900000,00:16:30.110000,Don't shoot. Don't shoot.,0.0,0.0
95,00:16:30.190000,00:16:31.700000,Will this never end?,0.0,0.0
96,00:17:11.940000,00:17:14.530000,"- Fine. Let's go.
- Luke!",0.0,0.0
97,00:17:14.610000,00:17:16.110000,Luke!,0.0,0.0
98,00:17:19.540000,00:17:24.620000,"Luke, tell your uncle if he gets a
translator, be sure it speaks Bocce.",0.0,0.0
99,00:17:24.710000,00:17:27.250000,"Doesn't look like we have much choice,
but I'll remind him.",0.0,0.0
100,00:17:38.350000,00:17:40.560000,"Yeah, we'll take that red one.",0.0,0.0
101,00:17:40.640000,00:17:42.600000,"No, not that one.",0.0,0.0
102,00:17:44.390000,00:17:47.350000,"You. I suppose you're programmed
for etiquette and protocol.",0.0,0.0
103,00:17:47.440000,00:17:51.440000,"Protocol? It's my primary function, sir.
I am well-versed in all the customs...",0.0,0.0
104,00:17:51.530000,00:17:54.860000,"- I have no need for a protocol droid.
- Of course you haven't, sir.",0.0,0.0
105,00:17:54.950000,00:17:57.750000,"Not in an environment such as this.
That's why I have been programmed...",0.0,0.0
106,00:17:57.780000,00:18:01.830000,"I need a droid who understands
the binary language of moisture vaporators.",0.0,0.0
107,00:18:01.910000,00:18:05.210000,"Vaporators? Sir, my first job
was programming binary load lifters...",0.0,0.0
108,00:18:05.290000,00:18:07.460000,"very similar to your vaporators
in most respects.",0.0,0.0
109,00:18:07.540000,00:18:11.090000,"- Can you speak Bocce?
- Of course. It's like a second language.",0.0,0.0
110,00:18:11.170000,00:18:13.380000,"- All right. Shut up. I'll take this one.
- Shutting up, sir.",0.0,0.0
111,00:18:13.460000,00:18:14.670000,Luke!,0.0,0.0
112,00:18:17.130000,00:18:19.800000,"Take these two to the garage.
I want them cleaned up before dinner.",0.0,0.0
113,00:18:19.890000,00:18:22.810000,"But I was going into Tosche Station
to pick up some power converters.",0.0,0.0
114,00:18:22.890000,00:18:25.140000,"You can waste time with your friends
when your chores are done.",0.0,0.0
115,00:18:25.230000,00:18:26.810000,Now come on. Get to it.,0.0,0.0
116,00:18:28.850000,00:18:30.110000,All right. Come on.,0.0,0.0
117,00:18:32.770000,00:18:34.480000,And the red one. Come on.,0.0,0.0
118,00:18:35.990000,00:18:37.700000,"Come on, red. Let's go.",0.0,0.0
119,00:18:57.340000,00:18:59.510000,"- Uncle Owen.
- Yeah?",0.0,0.0
120,00:18:59.590000,00:19:02.350000,This R2 unit has a bad motivator. Look.,0.0,0.0
121,00:19:02.430000,00:19:04.850000,"Hey, what are you trying to push on us?",0.0,0.0
122,00:19:07.850000,00:19:12.810000,"Excuse me, sir, but that R2 unit
is in prime condition, a real bargain.",0.0,0.0
123,00:19:12.900000,00:19:14.820000,"Uncle Owen, what about that one?",0.0,0.0
124,00:19:14.900000,00:19:17.440000,"What about that blue one?
We'll take that one.",0.0,0.0
125,00:19:18.780000,00:19:19.990000,Take this away.,0.0,0.0
126,00:19:20.070000,00:19:21.660000,"You'll be pleased with that one, sir.",0.0,0.0
127,00:19:21.740000,00:19:24.660000,"He really is in first-class condition.
I've worked with him before.",0.0,0.0
128,00:19:24.740000,00:19:25.740000,Here he comes.,0.0,0.0
129,00:19:29.960000,00:19:31.380000,Okay. Let's go.,0.0,0.0
130,00:19:31.960000,00:19:33.210000,Don't you forget this.,0.0,0.0
131,00:19:33.290000,00:19:36.800000,"Why I should stick my neck out for you
is quite beyond my capacity.",0.0,0.0
132,00:19:42.970000,00:19:46.220000,"Thank the maker.
This oil bath is going to feel so good.",0.0,0.0
133,00:19:47.720000,00:19:51.310000,"I've got such a bad case of dust
contamination, I can barely move.",0.0,0.0
134,00:19:51.400000,00:19:53.020000,It just isn't fair.,0.0,0.0
