index,start_time,end_time,text,sentiment_score,cumulative_sentiment
77,00:07:18.897000,00:07:19.939000,I don't know where he is.,0.0,0.0
78,00:07:20.023000,00:07:21.023000,Nobody knows where he is.,0.0,0.0
79,00:07:21.107000,00:07:22.347000,"What do you mean, nobody knows?",0.0,0.0
80,00:07:22.442000,00:07:24.318000,"Well, uh, you see-
Deck Officer!",0.0,0.0
81,00:07:24.444000,00:07:25.924000,"Deck Officer!
Excuse me, sir, might I...",0.0,0.0
82,00:07:25.946000,00:07:26.946000,"Yes, sir?",0.0,0.0
83,00:07:27.030000,00:07:28.364000,Do you know where Commander Skywalker is?,0.0,0.0
84,00:07:28.448000,00:07:29.865000,I haven't seen him.,0.0,0.0
85,00:07:29.950000,00:07:31.408000,"It's possible he came through
the south entrance.",0.0,0.0
86,00:07:31.493000,00:07:34.119000,"<i>It's possible?</i>
Why don't you go find out?",0.0,0.0
87,00:07:34.204000,00:07:35.325000,It's getting dark out there.,0.0,0.0
88,00:07:35.372000,00:07:36.622000,"Yes, sir.",0.0,0.0
89,00:07:36.706000,00:07:38.874000,"Excuse me, sir.
Might I inquire what's going on?",0.0,0.0
90,00:07:38.959000,00:07:40.167000,Why not?,0.0,0.0
91,00:07:40.251000,00:07:41.377000,Impossible man.,0.0,0.0
92,00:07:41.461000,00:07:42.878000,"Come along, R2, let's find Princess Leia.",0.0,0.0
93,00:07:42.963000,00:07:44.129000,"Between ourselves,",0.0,0.0
94,00:07:44.214000,00:07:46.840000,"I think Master Luke is
in considerable danger.",0.0,0.0
95,00:07:56.434000,00:07:58.644000,"Sir, Commander Skywalker
hasn't come in the south entrance.",0.0,0.0
96,00:07:58.728000,00:08:00.020000,He might have forgotten to check in.,0.0,0.0
97,00:08:00.105000,00:08:01.230000,Not likely. Are the speeders ready?,0.0,0.0
98,00:08:01.314000,00:08:03.482000,"Uh, not yet. We're having trouble
adapting them to the cold.",0.0,0.0
99,00:08:03.566000,00:08:04.692000,We'll have to go out on tauntauns.,0.0,0.0
100,00:08:04.776000,00:08:06.536000,"Sir, the temperature's
dropping too rapidly.",0.0,0.0
101,00:08:06.611000,00:08:08.904000,"That's right,
and my friend's out in it.",0.0,0.0
102,00:08:13.118000,00:08:15.786000,"Your tauntaun will freeze
before you reach the first marker.",0.0,0.0
103,00:08:15.870000,00:08:18.414000,Then I'll see you in hell. Hyah!,0.0,0.0
104,00:08:41.438000,00:08:43.939000,Rrraaah!,0.0,0.0
105,00:09:36.409000,00:09:37.826000,Grrrr!,-0.7,-0.7
106,00:09:52.634000,00:09:54.510000,Graaah!,0.0,-0.7
107,00:10:35.927000,00:10:37.678000,"You must come along now, R2.",0.0,-0.7
108,00:10:37.762000,00:10:39.805000,There's really nothing more we can do.,0.0,-0.7
109,00:10:39.889000,00:10:42.182000,And my joints are freezing up.,0.0,-0.7
110,00:10:43.351000,00:10:44.643000,Don't say things like that!,0.0,-0.7
111,00:10:44.727000,00:10:46.247000,Of course we'll see Master Luke again.,0.0,-0.7
112,00:10:46.312000,00:10:49.731000,And he'll be quite all right. You'll see.,0.0,-0.7
113,00:10:49.816000,00:10:51.692000,Stupid little short circuit.,0.0,-0.7
114,00:10:51.776000,00:10:53.861000,He'll be quite all right.,0.0,-0.7
115,00:11:51.127000,00:11:53.337000,"Sir, all the patrols are in.",0.0,-0.7
116,00:11:53.421000,00:11:54.421000,Still no...,0.0,-0.7
117,00:11:55.506000,00:11:58.383000,Still no contact from Skyalker or Solo.,0.0,-0.7
118,00:11:58.468000,00:12:02.137000,"Mistress Leia, R2 says he's been
quite unable to pick up any signals,",0.0,-0.7
119,00:12:02.222000,00:12:06.475000,"although he does admit that his own range
is far too weak to abandon all hope.",0.0,-0.7
120,00:12:06.559000,00:12:08.352000,"Your Highness,
there's nothing more we can do tonight.",0.0,-0.7
121,00:12:08.436000,00:12:10.729000,The shield doors must be closed.,0.0,-0.7
122,00:12:12.106000,00:12:13.065000,Close the doors.,0.0,-0.7
123,00:12:13.149000,00:12:14.149000,"Yes, sir.",0.0,-0.7
124,00:12:16.027000,00:12:21.073000,"R2 says the chances
of survival are 725 to 1.",0.0,-0.7
125,00:12:29.749000,00:12:31.041000,Gahhh!,0.0,-0.7
126,00:12:31.125000,00:12:35.837000,"Actually, R2 has been
known to make mistakes...",0.0,-0.7
127,00:12:38.841000,00:12:40.759000,from time to time.,0.0,-0.7
128,00:12:40.843000,00:12:42.344000,"Oh, dear. Oh, dear.",0.0,-0.7
129,00:12:45.348000,00:12:47.266000,Don't worry about Master Luke.,0.0,-0.7
130,00:12:47.350000,00:12:48.767000,I'm sure he'll be all right.,0.0,-0.7
131,00:12:48.851000,00:12:51.353000,"He's quite clever, you
know, for a human being.",0.0,-0.7
132,00:13:06.953000,00:13:07.453000,<i>Luke.</i>,0.0,-0.7
133,00:13:19.799000,00:13:21.341000,Ben?,0.0,-0.7
134,00:13:21.426000,00:13:24.094000,<i>You will go to the Dagobah system.</i>,0.0,-0.7
135,00:13:24.178000,00:13:25.971000,Dagobah system?,0.0,-0.7
136,00:13:26.055000,00:13:28.849000,"<i>There you will learn from Yoda,</i>",0.0,-0.7
137,00:13:28.933000,00:13:33.437000,<i>the Jedi master who instructed me.</i>,0.0,-0.7
138,00:13:33.521000,00:13:36.732000,Ben!,0.0,-0.7
139,00:13:40.987000,00:13:42.404000,Luke!,0.0,-0.7
140,00:13:42.488000,00:13:44.906000,Luke!,0.0,-0.7
141,00:13:51.456000,00:13:53.373000,"Don't do this, Luke.",0.0,-0.7
142,00:13:53.458000,00:13:56.918000,"Come on, give me a sign here.",0.0,-0.7
143,00:14:18.232000,00:14:19.983000,Not much time.,0.0,-0.7
144,00:14:20.068000,00:14:23.653000,Ben.,0.0,-0.7
145,00:14:27.367000,00:14:28.992000,"Hang on, kid.",0.0,-0.7
146,00:14:30.161000,00:14:32.245000,Dagobah system.,0.0,-0.7
147,00:14:32.330000,00:14:33.330000,Whew!,0.0,-0.7
148,00:14:33.414000,00:14:36.333000,"This may smell bad, kid...",0.0,-0.7
149,00:14:36.417000,00:14:38.418000,Yoda.,0.0,-0.7
150,00:14:38.503000,00:14:40.212000,But it'll keep you warm...,0.0,-0.7
151,00:14:40.296000,00:14:42.547000,till I get the shelter up.,0.0,-0.7
152,00:14:42.632000,00:14:45.175000,Ben... Dagobah...,0.0,-0.7
153,00:14:45.259000,00:14:46.927000,Ahhh!,0.0,-0.7
154,00:14:47.011000,00:14:53.100000,"Ah! I thought they smelled
bad on the outside!",0.0,-0.7
155,00:15:35.184000,00:15:37.686000,"Echo Base, I've got something.",0.0,-0.7
156,00:15:37.770000,00:15:40.856000,"Not much, but it could be a life-form.",0.0,-0.7
157,00:15:44.819000,00:15:47.237000,"Commander Skywalker, do you copy?",0.0,-0.7
158,00:15:47.321000,00:15:51.783000,This is Rogue Two.,0.0,-0.7
159,00:15:51.868000,00:15:55.537000,"Captain Solo, do you copy?",0.0,-0.7
160,00:16:00.334000,00:16:04.171000,"Commander Skywalker, do you copy?",0.0,-0.7
161,00:16:04.255000,00:16:06.715000,This is Rogue Two.,0.0,-0.7
162,00:16:06.799000,00:16:08.216000,<i>Han.. Good morning.</i>,0.0,-0.7
163,00:16:08.301000,00:16:10.677000,<i>Nice of you guys to drop by.</i>,0.0,-0.7
164,00:16:10.761000,00:16:13.138000,"Echo Base, this is Rogue Two.",0.0,-0.7
165,00:16:13.222000,00:16:14.639000,I've found them.,0.0,-0.7
166,00:16:14.724000,00:16:16.558000,"Repeat, I've found them.",0.0,-0.7
167,00:16:46.797000,00:16:49.466000,"Master Luke, sir, it's so good
to see you fully functional again.",0.0,-0.7
168,00:16:49.550000,00:16:50.509000,"Thanks, 3PO.",0.0,-0.7
169,00:16:51.677000,00:16:53.345000,R2 expresses his relief also.,0.0,-0.7
170,00:16:53.429000,00:16:56.181000,"How ya feelin', kid?
You don't look so bad to me.",0.0,-0.7
171,00:16:56.265000,00:16:59.684000,"You look strong enough
to pull the ears offa gundark.",0.0,-0.7
172,00:16:59.769000,00:17:01.186000,Thanks to you.,0.0,-0.7
173,00:17:01.270000,00:17:03.897000,"That's two you owe me, junior.",0.0,-0.7
174,00:17:03.981000,00:17:05.565000,"Well, Your Worship,",0.0,-0.7
175,00:17:05.650000,00:17:08.527000,"looks like you managed to keep me around
for a little while longer.",0.0,-0.7
176,00:17:08.611000,00:17:10.195000,I had nothing to do with it.,0.0,-0.7
177,00:17:10.279000,00:17:13.323000,"General Rieekan thinks it's dangerous
for any ships to leave the system",0.0,-0.7
178,00:17:13.407000,00:17:14.741000,until we've activated the energy field.,0.0,-0.7
179,00:17:14.825000,00:17:16.743000,That's a good story.,0.0,-0.7
180,00:17:16.827000,00:17:20.789000,"I think you just can't bear to let
a gorgeous guy like me out of your sight.",0.0,-0.7
181,00:17:20.873000,00:17:24.209000,"I don't know where
you get your delusions, laser brain.",0.0,-0.7
182,00:17:24.293000,00:17:25.961000,Hah hah hah!,0.0,-0.7
183,00:17:27.296000,00:17:29.214000,"Laugh it up, fuzzball,",0.0,-0.7
184,00:17:29.298000,00:17:32.717000,"but you didn't see us alone
in the south passage.",0.0,-0.7
185,00:17:32.802000,00:17:35.262000,She expressed her true feelings for me.,0.0,-0.7
186,00:17:35.346000,00:17:36.721000,My...,0.0,-0.7
187,00:17:36.806000,00:17:39.766000,"Why, you stuck-up, half-witted,",0.0,-0.7
188,00:17:39.850000,00:17:42.435000,scruffy-looking nerf herder!,0.0,-0.7
189,00:17:42.520000,00:17:45.647000,Who's scruffy-looking?,0.0,-0.7
190,00:17:48.067000,00:17:52.362000,"I must have hit pretty close to the mark to
get her all riled up like that, huh, kid?",0.0,-0.7
191,00:17:55.825000,00:17:59.327000,"Well, I guess you don't know
everything about women yet.",0.0,-0.7
192,00:18:04.333000,00:18:12.333000,"<i>Headquarters personnel,</i>
<i>report to command center.</i>",0.0,-0.7
193,00:18:13.843000,00:18:14.843000,Take it easy.,0.0,-0.7
194,00:18:14.927000,00:18:17.345000,"Excuse us, please.",0.0,-0.7
195,00:18:20.182000,00:18:22.350000,"Princess, we have a Visitor.",0.0,-0.7
196,00:18:22.435000,00:18:26.104000,"Picked up something
outside the base's Zone 12 moving east.",0.0,-0.7
197,00:18:26.188000,00:18:27.188000,It's metal.,0.0,-0.7
198,00:18:27.273000,00:18:28.607000,Then it couldn't be one of those creatures.,0.0,-0.7
199,00:18:28.691000,00:18:30.191000,"Could be a speeder, one of ours.",0.0,-0.7
200,00:18:30.276000,00:18:31.526000,No.,0.0,-0.7
201,00:18:31.611000,00:18:32.694000,Wait.,0.0,-0.7
202,00:18:32.778000,00:18:35.447000,"There's something
very weak coming through.",0.0,-0.7
203,00:18:38.743000,00:18:41.870000,"Sir, I'm fluent in six million
forms of communication.",0.0,-0.7
204,00:18:41.954000,00:18:44.581000,This signal is not used by the Alliance.,0.0,-0.7
205,00:18:44.665000,00:18:46.875000,It could be an imperial code.,0.0,-0.7
206,00:18:50.338000,00:18:52.130000,"It isn't friendly, whatever it is.",0.0,-0.7
207,00:18:52.214000,00:18:54.132000,"Come on, Chewie, let's check it out.",0.0,-0.7
208,00:18:54.216000,00:18:57.510000,Send Rogues 10 and 11 to Station 38.,0.0,-0.7
209,00:19:13.694000,00:19:14.944000,Grrr!,-0.7,-1.4
210,00:19:28.751000,00:19:30.585000,Gahhh!,0.0,-1.4
211,00:19:32.421000,00:19:33.630000,<i>I'm afraid there's not much left.</i>,0.0,-1.4
212,00:19:33.714000,00:19:34.673000,What was it?,0.0,-1.4
213,00:19:34.757000,00:19:36.174000,<i>Droid of some kind.</i>,0.0,-1.4
214,00:19:36.258000,00:19:38.176000,"<i>I didn't hit it that hard.</i>
<i>Must've had a self-destruct.</i>",0.0,-1.4
215,00:19:38.260000,00:19:40.053000,An imperial probe droid.,0.0,-1.4
216,00:19:40.137000,00:19:43.181000,"<i>It's a good bet the
Empire knows we're here.</i>",0.0,-1.4
217,00:19:43.265000,00:19:45.266000,We'd better start the evacuation.,0.0,-1.4
218,00:20:29.645000,00:20:31.396000,Admiral.,0.0,-1.4
219,00:20:31.480000,00:20:32.897000,"Yes, Captain?",0.0,-1.4
220,00:20:32.982000,00:20:35.233000,"I think we've got something, sir.",0.0,-1.4
221,00:20:35.317000,00:20:39.070000,"The report is only a fragment
from a probe droid in the Hoth system,",0.0,-1.4
222,00:20:39.155000,00:20:40.476000,but it's the best lead we've had.,0.0,-1.4
223,00:20:40.489000,00:20:43.533000,"We have thousands of probe droids
searching the galaxy.",0.0,-1.4
224,00:20:43.617000,00:20:44.743000,"I want proof, not leads.",0.0,-1.4
225,00:20:44.827000,00:20:46.703000,The visuals indicate life readings.,0.0,-1.4
226,00:20:46.787000,00:20:47.746000,It could mean anything.,0.0,-1.4
227,00:20:47.830000,00:20:49.122000,If we followed up every lead...,0.0,-1.4
228,00:20:49.206000,00:20:52.250000,"But, sir, the Hoth system
is supposed to be devoid of humans.",0.0,-1.4
229,00:20:52.334000,00:20:53.543000,You've found something?,0.0,-1.4
230,00:20:53.627000,00:20:54.794000,"Yes, my lord.",0.0,-1.4
231,00:20:57.173000,00:20:59.507000,That's it. The rebels are there.,0.0,-1.4
232,00:20:59.592000,00:21:04.095000,"My lord, there are so many
uncharted settlements.",0.0,-1.4
233,00:21:04.180000,00:21:05.180000,It could be smugglers...,0.0,-1.4
234,00:21:05.264000,00:21:06.973000,That is the system.,0.0,-1.4
235,00:21:07.057000,00:21:09.476000,And I'm sure Skywalker is with them.,0.0,-1.4
236,00:21:09.560000,00:21:12.604000,Set your course for the Hoth system.,0.0,-1.4
237,00:21:12.688000,00:21:14.898000,"General Veers, prepare your men.",0.0,-1.4
238,00:21:14.982000,00:21:16.399000,Admiral.,0.0,-1.4
